IL	Black Dog Smoke & Ale House	["Barbeque","Restaurants"]	880
IL	Sakanaya Restaurant	["Sushi Bars","Japanese","Restaurants"]	853
IL	Destihl Restaurant & Brew Works	["Breakfast & Brunch","American (New)","Gluten-Free","Restaurants"]	436
